image,imageTag,imageDigest,platform,hasFix,cve,cveReferences,highestSeverity,vulnerableVersions,fixedVersions,cvePublished,cveLastModified,artifactNames,artifactTypes,artifactPaths,severities,cvssBaseScores,highestCvssBaseScore,cvssExploitabilityScores,highestCvssExploitabilityScore,cvssImpactScores,highestCvssImpactScore,cvssVectors,exploitDBRefs,vulnerableBuildSteps,vulnerableLayerNumbers,baseLayerVulnerability,notes,scannerHits,tags
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","Yes","CVE-2024-0553","https://access.redhat.com/errata/RHSA-2024:0627 - twistlock","medium","3.6.16-5.el8_6","3.6.16-8.el8_9.1","2024-01-16",,"gnutls","os",,"medium - twistlock","7.5 - twistlock","7.5",,,,,"CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N",,"3","2","false",,"twistlock","nvd-status(analyzed)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","No","CVE-2024-2236","https://access.redhat.com/security/cve/CVE-2024-2236 - twistlock","medium","1.8.5-7.el8_6",,"2024-03-06",,"libgcrypt","os",,"medium - twistlock","5.9 - twistlock","5.9",,,,,,,"3","2","false",,"twistlock",
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","No","CVE-2024-22365","https://access.redhat.com/security/cve/CVE-2024-22365 - twistlock","medium","1.3.1-22.el8",,"2024-01-18",,"pam","os",,"medium - twistlock","5.5 - twistlock","5.5",,,,,,,"3","2","false",,"twistlock","nvd-status(awaiting analysis)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","No","CVE-2024-2398","https://access.redhat.com/security/cve/CVE-2024-2398 - twistlock","medium","7.61.1-25.el8_7.1",,"2024-03-27",,"curl;libcurl","os",,"medium - twistlock","7.5 - twistlock","7.5",,,,,,,"3","2","false",,"twistlock",
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","No","CVE-2024-25062","https://access.redhat.com/security/cve/CVE-2024-25062 - twistlock","medium","2.9.7-15.el8_7.1",,"2024-02-04",,"libxml2","os",,"medium - twistlock","7.5 - twistlock","7.5",,,,,,,"3","2","false",,"twistlock","nvd-status(awaiting analysis)"
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","No","CVE-2024-26458","https://access.redhat.com/security/cve/CVE-2024-26458 - twistlock","low","1.18.2-22.el8_7",,"2024-02-28",,"krb5-libs","os",,"low - twistlock","7.5 - twistlock","7.5",,,,,,,"3","2","false",,"twistlock",
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","No","CVE-2024-26461","https://access.redhat.com/security/cve/CVE-2024-26461 - twistlock","low","1.18.2-22.el8_7","under investigation","2024-02-28",,"krb5-libs","os",,"low - twistlock","7.5 - twistlock","7.5",,,,,,,"3","2","false",,"twistlock",
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","No","CVE-2024-26462","https://access.redhat.com/security/cve/CVE-2024-26462 - twistlock","low","1.18.2-22.el8_7","under investigation","2024-02-28",,"krb5-libs","os",,"low - twistlock","7.5 - twistlock","7.5",,,,,,,"3","2","false",,"twistlock",
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","No","CVE-2024-28834","https://access.redhat.com/security/cve/CVE-2024-28834 - twistlock","medium","3.6.16-5.el8_6",,"2024-03-21",,"gnutls","os",,"medium - twistlock","5.3 - twistlock","5.3",,,,,,,"3","2","false",,"twistlock",
"ibm-maas360-infra-apps-memcached-1.5.20-b03","1.5.20-b03","sha256:6ee8b32c48b1ae6ed13b8ca4f7719c8cd788c64d872b29c005258ca21262c863","linux:amd64:","No","PRISMA-2022-0168","https://github.com/pypa/pip/issues/8606 - twistlock","high","9.0.3",,"2022-05-16",,"pip","python","/usr/lib/python3.6/site-packages/pip-9.0.3.dist-info","high - twistlock","7.8 - twistlock","7.8",,,,,,,"3","2","false",,"twistlock",
